index,action,object,filename,full_path,gt_path,Exp1_Context_LastInput_KLD,Exp1_Context_LastInput_SIM,Exp1_Context_LastInput_NSS,Exp2_Context_AvgOutput_KLD,Exp2_Context_AvgOutput_SIM,Exp2_Context_AvgOutput_NSS,Exp3_Context_Top1_Raw_KLD,Exp3_Context_Top1_Raw_SIM,Exp3_Context_Top1_Raw_NSS,Exp4_Context_Top1_Obj_KLD,Exp4_Context_Top1_Obj_SIM,Exp4_Context_Top1_Obj_NSS,Exp5_Context_Top1_Adapt_KLD,Exp5_Context_Top1_Adapt_SIM,Exp5_Context_Top1_Adapt_NSS,Exp6_Context_PLSP_KLD,Exp6_Context_PLSP_SIM,Exp6_Context_PLSP_NSS,Exp7_EgoOnly_LastInput_KLD,Exp7_EgoOnly_LastInput_SIM,Exp7_EgoOnly_LastInput_NSS,Exp8_EgoOnly_AvgOutput_KLD,Exp8_EgoOnly_AvgOutput_SIM,Exp8_EgoOnly_AvgOutput_NSS,Exp9_EgoOnly_Top1_Raw_KLD,Exp9_EgoOnly_Top1_Raw_SIM,Exp9_EgoOnly_Top1_Raw_NSS,Exp10_EgoOnly_Top1_Obj_KLD,Exp10_EgoOnly_Top1_Obj_SIM,Exp10_EgoOnly_Top1_Obj_NSS,Exp11_EgoOnly_Top1_Adapt_KLD,Exp11_EgoOnly_Top1_Adapt_SIM,Exp11_EgoOnly_Top1_Adapt_NSS,Exp12_EgoOnly_PLSP_KLD,Exp12_EgoOnly_PLSP_SIM,Exp12_EgoOnly_PLSP_NSS,top_token_text,exo_filename,Exp1_Context_KLD,Exp1_Context_SIM,Exp1_Context_NSS,Exp2_Context_KLD,Exp2_Context_SIM,Exp2_Context_NSS,Exp3_Context_KLD,Exp3_Context_SIM,Exp3_Context_NSS,Exp4_Context_KLD,Exp4_Context_SIM,Exp4_Context_NSS,Exp5_Context_KLD,Exp5_Context_SIM,Exp5_Context_NSS,Exp6_Context_KLD,Exp6_Context_SIM,Exp6_Context_NSS,Exp7_EgoOnly_KLD,Exp7_EgoOnly_SIM,Exp7_EgoOnly_NSS,Exp8_EgoOnly_KLD,Exp8_EgoOnly_SIM,Exp8_EgoOnly_NSS,Exp9_EgoOnly_KLD,Exp9_EgoOnly_SIM,Exp9_EgoOnly_NSS,Exp10_EgoOnly_KLD,Exp10_EgoOnly_SIM,Exp10_EgoOnly_NSS,Exp11_EgoOnly_KLD,Exp11_EgoOnly_SIM,Exp11_EgoOnly_NSS,Exp12_EgoOnly_KLD,Exp12_EgoOnly_SIM,Exp12_EgoOnly_NSS
149,cut,apple,apple_002741.jpg,/root/AGD20K/Seen/testset/egocentric/cut/apple/apple_002741.jpg,/root/AGD20K/Seen/testset/GT/cut/apple/apple_002741.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5629773139953613,0.07959157228469849,-0.2789401710033417,2.3365633487701416,0.20997989177703857,-0.17327536642551422,1.640843152999878,0.3254483938217163,0.07818053662776947,0.32828250527381897,0.6538266539573669,0.894546389579773,0.32828250527381897,0.6538266539573669,0.894546389579773,0.32828250527381897,0.6538266539573669,0.894546389579773,3.38899564743042,0.09562406688928604,-0.32289934158325195,2.6009371280670166,0.1305869221687317,-0.23409532010555267,1.8879649639129639,0.2214028537273407,-0.21410413086414337,0.17495541274547577,0.7563012838363647,1.1116832494735718,0.369627982378006,0.6491231918334961,1.0093209743499756,0.17495541274547577,0.7563012838363647,1.1116832494735718
161,cut,banana,banana_001366.jpg,/root/AGD20K/Seen/testset/egocentric/cut/banana/banana_001366.jpg,/root/AGD20K/Seen/testset/GT/cut/banana/banana_001366.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519998788833618,0.1291099488735199,-0.3067081570625305,1.2971090078353882,0.34561729431152344,-0.0319746695458889,1.1777973175048828,0.47309985756874084,0.3141333758831024,0.2886943221092224,0.7243456840515137,0.9801361560821533,0.4710884988307953,0.6784490942955017,0.8777194619178772,0.2886943221092224,0.7243456840515137,0.9801361560821533,2.3260550498962402,0.1481906920671463,-0.3337819278240204,1.6232171058654785,0.24107588827610016,-0.1499011069536209,1.208047866821289,0.35767340660095215,-0.021726295351982117,0.1398489773273468,0.8028913736343384,1.1371738910675049,0.1398489773273468,0.8028913736343384,1.1371738910675049,0.1398489773273468,0.8028913736343384,1.1371738910675049
175,cut,carrot,carrot_000953.jpg,/root/AGD20K/Seen/testset/egocentric/cut/carrot/carrot_000953.jpg,/root/AGD20K/Seen/testset/GT/cut/carrot/carrot_000953.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.671472549438477,0.03584670275449753,-0.44325384497642517,2.623370885848999,0.11966042220592499,-0.5078616142272949,3.1192286014556885,0.07356511056423187,-0.596228301525116,2.529064416885376,0.0981990247964859,-0.22232915461063385,1.9078348875045776,0.1768971085548401,0.22655634582042694,2.529064416885376,0.0981990247964859,-0.22232915461063385,4.437257766723633,0.039910923689603806,-0.45914971828460693,2.6688482761383057,0.11292438209056854,-0.55666184425354,1.7621699571609497,0.2136477679014206,0.8490144610404968,1.5501843690872192,0.23371772468090057,0.5838533639907837,1.5501843690872192,0.23371772468090057,0.5838533639907837,1.5501843690872192,0.23371772468090057,0.5838533639907837
178,cut,orange,orange_001193.jpg,/root/AGD20K/Seen/testset/egocentric/cut/orange/orange_001193.jpg,/root/AGD20K/Seen/testset/GT/cut/orange/orange_001193.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.091721773147583,0.09488839656114578,-0.4688590168952942,1.6845754384994507,0.24089035391807556,-0.0159690473228693,1.1340612173080444,0.3729998767375946,0.9375704526901245,0.7197147011756897,0.6103512048721313,1.3479526042938232,0.7197147011756897,0.6103512048721313,1.3479526042938232,0.7197147011756897,0.6103512048721313,1.3479526042938232,3.153635263442993,0.09554185718297958,-0.5256558656692505,1.7618635892868042,0.21945908665657043,-0.16799858212471008,0.9885754585266113,0.4325201213359833,0.9595470428466797,0.7952605485916138,0.5974770188331604,1.2154332399368286,0.7952605485916138,0.5974770188331604,1.2154332399368286,0.7952605485916138,0.5974770188331604,1.2154332399368286
193,cut_with,knife,knife_001072.jpg,/root/AGD20K/Seen/testset/egocentric/cut_with/knife/knife_001072.jpg,/root/AGD20K/Seen/testset/GT/cut_with/knife/knife_001072.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.638219118118286,0.09517829120159149,-0.11160726100206375,1.916626214981079,0.17761361598968506,0.061370134353637695,1.361350655555725,0.29047325253486633,0.668231189250946,0.43849313259124756,0.6449337601661682,2.361438751220703,0.7104316353797913,0.507747232913971,2.2241265773773193,0.3052487075328827,0.7241073846817017,2.4329633712768555,2.4970786571502686,0.11059227585792542,-0.10998264700174332,2.00264310836792,0.16683591902256012,0.037239979952573776,1.520269751548767,0.2552326023578644,0.487525999546051,0.48647376894950867,0.6204652190208435,2.344818353652954,0.7882629036903381,0.47639819979667664,2.18349552154541,0.34150221943855286,0.7038923501968384,2.423736572265625
222,cut_with,scissors,scissors_002479.jpg,/root/AGD20K/Seen/testset/egocentric/cut_with/scissors/scissors_002479.jpg,/root/AGD20K/Seen/testset/GT/cut_with/scissors/scissors_002479.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9950170516967773,0.04326533153653145,-0.23037506639957428,2.4011387825012207,0.12624378502368927,0.1294519603252411,1.753929615020752,0.21209798753261566,0.8387898206710815,1.0394304990768433,0.37517353892326355,2.185030221939087,1.0394304990768433,0.37517353892326355,2.185030221939087,1.0399879217147827,0.3753814995288849,2.142728805541992,3.698664665222168,0.05337633192539215,-0.23328103125095367,2.6867289543151855,0.10522620379924774,0.015253817662596703,2.0150978565216064,0.17406250536441803,0.479770302772522,1.1067148447036743,0.35985633730888367,2.0344152450561523,1.348142385482788,0.3065246343612671,1.6500520706176758,1.1032270193099976,0.36223432421684265,2.002897262573242
233,drag,suitcase,suitcase_003339.jpg,/root/AGD20K/Seen/testset/egocentric/drag/suitcase/suitcase_003339.jpg,/root/AGD20K/Seen/testset/GT/drag/suitcase/suitcase_003339.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9518280029296875,0.08484362065792084,0.13712850213050842,2.217726469039917,0.18097352981567383,1.7871651649475098,1.7313936948776245,0.25636669993400574,2.466416120529175,2.2771568298339844,0.15043258666992188,1.969146728515625,2.2771568298339844,0.15043258666992188,1.969146728515625,2.2771568298339844,0.15043258666992188,1.969146728515625,2.8578150272369385,0.09233838319778442,0.20830194652080536,2.283970832824707,0.17357616126537323,1.7147835493087769,1.8481775522232056,0.23977495729923248,2.3226773738861084,2.3997223377227783,0.13708291947841644,1.8286138772964478,1.5334988832473755,0.26891374588012695,2.6446053981781006,2.3997223377227783,0.13708291947841644,1.8286138772964478
243,drink_with,bottle,bottle_001227.jpg,/root/AGD20K/Seen/testset/egocentric/drink_with/bottle/bottle_001227.jpg,/root/AGD20K/Seen/testset/GT/drink_with/bottle/bottle_001227.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.898667573928833,0.046418458223342896,-0.18849067389965057,2.5555765628814697,0.12237625569105148,0.20364733040332794,2.176494598388672,0.1783425360918045,1.156050205230713,1.7974486351013184,0.22992631793022156,1.4446501731872559,1.7974486351013184,0.22992631793022156,1.4446501731872559,1.849979043006897,0.22249332070350647,1.3439419269561768,3.653160572052002,0.05447506532073021,-0.18881846964359283,2.820255756378174,0.10247810184955597,0.0796734094619751,2.133976459503174,0.17759273946285248,1.0699552297592163,1.615999698638916,0.25650179386138916,1.7451231479644775,1.615999698638916,0.25650179386138916,1.7451231479644775,1.6620688438415527,0.24935176968574524,1.6417529582977295
268,drink_with,cup,cup_003209.jpg,/root/AGD20K/Seen/testset/egocentric/drink_with/cup/cup_003209.jpg,/root/AGD20K/Seen/testset/GT/drink_with/cup/cup_003209.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2905004024505615,0.06143810972571373,-0.20524989068508148,1.7877293825149536,0.20741872489452362,-0.06650879234075546,1.1725951433181763,0.34314069151878357,0.19727268815040588,0.41762131452560425,0.638522207736969,1.4870439767837524,0.41762131452560425,0.638522207736969,1.4870439767837524,0.41762131452560425,0.638522207736969,1.4870439767837524,3.159578323364258,0.07162785530090332,-0.2476949691772461,1.8615347146987915,0.19805307686328888,-0.08440215140581131,1.4027678966522217,0.2849135100841522,0.05356782674789429,0.4520638883113861,0.6189870238304138,1.4970951080322266,0.680316150188446,0.5216115713119507,1.358220100402832,0.4520638883113861,0.6189870238304138,1.4970951080322266
288,drink_with,wine_glass,wine_glass_002271.jpg,/root/AGD20K/Seen/testset/egocentric/drink_with/wine_glass/wine_glass_002271.jpg,/root/AGD20K/Seen/testset/GT/drink_with/wine_glass/wine_glass_002271.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1278557777404785,0.03371091187000275,-0.3089369833469391,3.055828332901001,0.08424430340528488,-0.11622253060340881,2.576045274734497,0.11931778490543365,0.10573171079158783,1.6534423828125,0.23795603215694427,1.0828965902328491,1.6534423828125,0.23795603215694427,1.0828965902328491,1.6620302200317383,0.23603154718875885,1.0678341388702393,3.9158644676208496,0.04007581248879433,-0.3319135904312134,3.258150339126587,0.07129503786563873,-0.1720224916934967,2.5783588886260986,0.11857953667640686,0.10473885387182236,1.5907676219940186,0.24841468036174774,1.1989755630493164,1.5907676219940186,0.24841468036174774,1.1989755630493164,1.6003127098083496,0.2462160587310791,1.1800278425216675
