Layer,Head,Attention_Sum,Layer_Total_Sum
1,27,0.014068775,0.76072574
1,28,0.003580953,0.76072574
1,29,0.037649527,0.76072574
1,30,0.105279215,0.76072574
1,31,0.0035044965,0.76072574
1,32,0.007362628,0.76072574
1,33,1.0486917e-05,0.76072574
1,34,0.00028096017,0.76072574
1,35,0.0012954429,0.76072574
1,36,0.00027022616,0.76072574
1,37,8.571353e-06,0.76072574
1,38,8.508695e-06,0.76072574
1,39,0.0026730113,0.76072574
1,40,0.0038071298,0.76072574
1,41,0.010792384,0.76072574
1,42,0.0003034412,0.76072574
1,43,0.0011879932,0.76072574
1,44,0.0068645175,0.76072574
1,45,0.0015731081,0.76072574
1,46,0.00170167,0.76072574
1,47,0.008861829,0.76072574
1,48,0.0023837998,0.76072574
1,49,0.00053633633,0.76072574
1,50,0.00026658276,0.76072574
1,51,0.0022322116,0.76072574
1,52,0.008711301,0.76072574
1,53,0.0017258179,0.76072574
1,54,0.0003137085,0.76072574
1,55,0.0013958791,0.76072574
1,56,0.030252792,0.76072574
1,57,0.00014228198,0.76072574
1,58,0.0012400403,0.76072574
1,59,0.009510125,0.76072574
1,60,0.00027340854,0.76072574
1,61,0.0015244083,0.76072574
1,62,0.00077078905,0.76072574
1,63,0.00444942,0.76072574
2,0,0.00017519384,1.255048
2,1,0.0052431133,1.255048
2,2,6.156185e-06,1.255048
2,3,0.0029903348,1.255048
2,4,0.0012020101,1.255048
2,5,0.00013354671,1.255048
2,6,0.02165437,1.255048
2,7,0.24849324,1.255048
2,8,0.00095029845,1.255048
2,9,0.0034571886,1.255048
2,10,0.0107002,1.255048
2,11,0.00038517872,1.255048
2,12,0.0051067085,1.255048
2,13,0.008656498,1.255048
2,14,0.013532479,1.255048
2,15,0.019919658,1.255048
2,16,0.027193181,1.255048
2,17,0.0046078363,1.255048
2,18,0.00037139363,1.255048
2,19,0.05847609,1.255048
2,20,0.0257601,1.255048
2,21,0.00021601809,1.255048
2,22,0.0417718,1.255048
2,23,0.03041632,1.255048
2,24,0.0073589864,1.255048
2,25,0.009387662,1.255048
2,26,0.00082352245,1.255048
2,27,0.019613586,1.255048
2,28,0.0141705,1.255048
2,29,0.003903706,1.255048
2,30,0.0049226824,1.255048
2,31,0.002452102,1.255048
2,32,0.24312212,1.255048
2,33,0.021669567,1.255048
2,34,0.027653506,1.255048
2,35,0.112644225,1.255048
2,36,0.0037993686,1.255048
2,37,0.0016036142,1.255048
2,38,0.010933497,1.255048
2,39,0.012228374,1.255048
2,40,0.00028367445,1.255048
2,41,4.1436673e-05,1.255048
2,42,0.0010633571,1.255048
2,43,0.00082616543,1.255048
2,44,0.011479557,1.255048
2,45,0.0020414002,1.255048
2,46,0.026777705,1.255048
2,47,0.0075931493,1.255048
2,48,0.00047223744,1.255048
2,49,0.021422558,1.255048
2,50,0.00013328393,1.255048
2,51,0.016762547,1.255048
2,52,0.00085969165,1.255048
2,53,0.0013815959,1.255048
2,54,0.0013007729,1.255048
2,55,0.005463157,1.255048
2,56,0.0022063144,1.255048
2,57,0.010884315,1.255048
2,58,0.0042212624,1.255048
2,59,0.00810085,1.255048
2,60,0.0020413364,1.255048
2,61,0.07375148,1.255048
2,62,0.004407354,1.255048
2,63,0.023826934,1.255048
3,0,0.009830812,2.1510968
3,1,0.110881284,2.1510968
3,2,0.023094524,2.1510968
3,3,0.055564433,2.1510968
3,4,0.04511092,2.1510968
3,5,0.6243247,2.1510968
3,6,0.012873022,2.1510968
3,7,0.063275695,2.1510968
3,8,6.676976e-05,2.1510968
3,9,0.00048588973,2.1510968
3,10,0.01446904,2.1510968
3,11,0.0003928679,2.1510968
3,12,0.00043206447,2.1510968
3,13,0.007916391,2.1510968
3,14,0.0014636344,2.1510968
3,15,0.015343373,2.1510968
3,16,0.0004962408,2.1510968
3,17,0.014250234,2.1510968
3,18,3.5390596e-05,2.1510968
3,19,0.0044349385,2.1510968
3,20,0.013756629,2.1510968
3,21,0.00321158,2.1510968
3,22,0.012751036,2.1510968
3,23,0.00095942174,2.1510968
3,24,0.025201341,2.1510968
3,25,0.060900316,2.1510968
3,26,0.00022387164,2.1510968
3,27,0.004359061,2.1510968
3,28,0.42446348,2.1510968
3,29,0.0037768874,2.1510968
3,30,0.021279268,2.1510968
3,31,0.013130141,2.1510968
3,32,0.0025914304,2.1510968
3,33,0.026990099,2.1510968
3,34,4.4426462e-05,2.1510968
3,35,0.02836922,2.1510968
3,36,0.012616018,2.1510968
3,37,0.004603193,2.1510968
3,38,0.003264146,2.1510968
3,39,0.007668245,2.1510968
3,40,7.313937e-05,2.1510968
3,41,0.0021048766,2.1510968
3,42,0.00019046421,2.1510968
3,43,0.00802451,2.1510968
3,44,0.0021445046,2.1510968
3,45,0.00064438477,2.1510968
3,46,0.00019130451,2.1510968
3,47,0.014892914,2.1510968
3,48,0.0053151743,2.1510968
3,49,0.00015713154,2.1510968
3,50,0.0062381616,2.1510968
3,51,0.3562351,2.1510968
3,52,0.004943135,2.1510968
